use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,bottleneck_4,4,298,11,20260817,4,44,4.252146674395974e-05,3.5810469853458926e-05
False,bottleneck_4,4,298,11,20260817,4,48,4.416715992189094e-05,3.6157369322609156e-05
False,bottleneck_4,4,298,11,20260817,5,18,0.00021144650913054491,0.00017137288523372263
False,bottleneck_4,4,298,11,20260817,5,21,0.000137212209636398,0.00011524081492098048
False,bottleneck_4,4,298,11,20260817,5,28,5.8472101461727764e-05,4.865408118348569e-05
False,bottleneck_4,4,298,11,20260817,5,31,0.00020134449005126953,0.00015537023136857897
False,bottleneck_4,4,298,11,20260817,5,32,0.00010043035534455151,5.670905011356808e-05
False,bottleneck_4,4,298,11,20260817,5,36,8.395417894624418e-05,7.44163990020752e-05
False,bottleneck_4,4,298,11,20260817,5,39,4.764078114676902e-05,3.98743140976876e-05
False,bottleneck_4,4,298,11,20260817,5,46,0.0024164978097313446,0.00211411714553833
False,hidden_8,8,546,11,20260815,1,1,0.002099868058816905,0.0014536583330482244
False,hidden_8,8,546,11,20260815,1,6,0.00012220338998574745,0.00010461091733304784
False,hidden_8,8,546,11,20260815,1,12,0.0002674665705128089,0.00019676089868880808
False,hidden_8,8,546,11,20260815,1,13,0.00016643662936620464,0.00014328479301184416
False,hidden_8,8,546,11,20260815,1,20,0.00017782659937603225,0.00016849279927555472
False,hidden_8,8,546,11,20260815,1,22,3.329490661806196e-05,2.844214395736344e-05
False,hidden_8,8,546,11,20260815,1,47,0.00011000458261130047,7.969021680764854e-05
False,hidden_8,8,546,11,20260815,1,49,0.00016774853404307908,0.00013224482245277613
False,hidden_8,8,546,11,20260815,2,3,0.004165950046422537,0.0035641563590615988
False,hidden_8,8,546,11,20260815,2,17,0.0001619841842923906,0.00014059424574952573
False,hidden_8,8,546,11,20260815,2,30,0.00021223551838555835,0.00018025397730525583
False,hidden_8,8,546,11,20260815,2,38,0.00020043733989699613,0.00014174223178997636
False,hidden_8,8,546,11,20260815,2,40,5.316076500600427e-05,3.644347088993527e-05
False,hidden_8,8,546,11,20260815,2,41,0.00029741040643106335,0.00021817446395289153
False,hidden_8,8,546,11,20260815,2,42,0.00012674421419270064,9.435773245058954e-05
False,hidden_8,8,546,11,20260815,2,45,0.00011616691814244277,0.00010004758951254189
False,hidden_8,8,546,11,20260815,3,7,0.0007726636706198454,0.0005855751223862171
False,hidden_8,8,546,11,20260815,3,8,0.001994555171862331,0.0016228747554123402
False,hidden_8,8,546,11,20260815,3,23,0.00013024555293465054,0.00010885834490181878
False,hidden_8,8,546,11,20260815,3,26,0.0007033018734866346,0.0005960333510302007
False,hidden_8,8,546,11,20260815,3,33,0.00012328280273460226,9.465575567446649e-05
False,hidden_8,8,546,11,20260815,3,34,9.284999034038312e-05,7.816075958544388e-05
False,hidden_8,8,546,11,20260815,3,35,0.0016372286979816325,0.0014210509834811091
False,hidden_8,8,546,11,20260815,3,37,0.00023839562275755743,0.00020735859288834035
False,hidden_8,8,546,11,20260815,4,4,0.0007827034669514523,0.0006033432437106967
False,hidden_8,8,546,11,20260815,4,15,0.00032448188330193604,0.00024209260300267488
False,hidden_8,8,546,11,20260815,4,19,0.00012162284315270463,0.00010563850082689896
False,hidden_8,8,546,11,20260815,4,27,8.83112914926587e-05,7.748484495095909e-05
False,hidden_8,8,546,11,20260815,4,29,0.0001240011282407074,0.00011512041237438098
False,hidden_8,8,546,11,20260815,4,43,0.0006306789292206792,0.0005446386057883501
False,hidden_8,8,546,11,20260815,4,44,4.999594959041121e-05,4.030585114378482e-05
