battery_id,policy,fit_start,model,EOL_cycle,conditional_lower_90,conditional_upper_90,bootstrap_valid,fit_RMSE,fit_success
11,5_3C_54PER_4C_NEWSTRUCTURE,50,power,12275.991815012263,3611.511404908892,498007.0373662215,60,0.00011659028248940157,True
11,5_3C_54PER_4C_NEWSTRUCTURE,80,power,3644.4557837718103,1082.2276557832367,5402175.056846602,60,0.00012853953062089978,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,1,exponential,16099.230629791595,13275.59164193118,21352.415191727912,60,0.0005100134481360291,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,20,exponential,11840.969155924451,10788.126090143393,13118.103846058228,60,0.00018983374619154186,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,50,exponential,10430.37200243121,9755.6470149064,11407.913011419596,60,0.00013817520397811842,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,80,exponential,9206.133922522145,8264.210932765007,10148.040491771835,60,0.00012149178157084599,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,1,linear,14440.758403895206,12452.313678297876,17416.816576440495,60,0.000509914942363257,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,20,linear,10626.315544094143,9814.773357119335,11452.021195372961,60,0.00018969505901714187,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,50,linear,9364.947845385497,8735.978066351985,10103.5941945754,60,0.00013812644749780563,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,80,linear,8270.575675552296,7450.039941436663,9268.07790751872,60,0.00012148006381745793,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,1,power,828.5170019126483,653.068839734954,1596.0375967259306,60,0.00039773235710476853,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,20,power,1796.4449227474156,1142.8377599665678,3607.1566444545338,60,0.00014891695023710072,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,50,power,2895.0014580178167,1444.6783888523198,17353.061092481617,60,0.00013314045927751634,True
14,5_6C_19PER_4_6C_NEWSTRUCTURE,80,power,3583.1697155781735,925.4557455667082,1674536.731653167,60,0.00012075817276580212,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,1,exponential,1152.865095836685,1144.5131410671067,1161.7533753182774,60,0.00025443883900953985,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,20,exponential,1149.5908766942878,1141.3099290973894,1155.0943659297895,60,0.00017526389799327524,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,50,exponential,1138.0080865315215,1128.7502329513497,1145.1771427779495,60,0.00016208518031229872,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,80,exponential,1121.183347921845,1101.3916990522785,1137.6571727117673,60,0.00015744103179830246,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,1,linear,1047.634427743301,1042.4394695606568,1053.7323870626324,60,0.00024158732358564084,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,20,linear,1046.3090550054944,1040.4210743126926,1053.3639291706163,60,0.00016220272191813466,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,50,linear,1038.5980022769063,1030.7400901478097,1046.380571731903,60,0.0001546366701234091,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,80,linear,1026.1001059463426,1012.5838920229785,1042.3123428530632,60,0.00015389819377895642,True
