outer_target_battery,cutoff,ensemble,horizon_bin,expert,weight
12,50,horizon,41-50,same_policy,2.7755575615628914e-17
13,50,adaptive,1-10,feature_ml,0.20975683192087147
13,50,adaptive,1-10,gp,0.082871082450845
13,50,adaptive,1-10,linear20,0.1946088359362327
13,50,adaptive,1-10,linear30,0.2458438598347837
13,50,adaptive,1-10,linear50,0.00895890235556855
13,50,adaptive,1-10,same_policy,0.25796048750169864
13,50,adaptive,11-20,feature_ml,0.21501347149486125
13,50,adaptive,11-20,gp,0.009699558275715222
13,50,adaptive,11-20,linear20,0.3759956387067708
13,50,adaptive,11-20,linear30,0.28107380362615897
13,50,adaptive,11-20,linear50,0.0066970609920497534
13,50,adaptive,11-20,same_policy,0.11152046690444406
13,50,adaptive,21-30,feature_ml,0.27454419313316225
13,50,adaptive,21-30,gp,0.007469206438547061
13,50,adaptive,21-30,linear20,0.3770351322550091
13,50,adaptive,21-30,linear30,0.2342135124051817
13,50,adaptive,21-30,linear50,0.00624454966988806
13,50,adaptive,21-30,same_policy,0.10049340609821178
13,50,adaptive,31-40,feature_ml,0.4468122364592576
13,50,adaptive,31-40,gp,0.008334183004950299
13,50,adaptive,31-40,linear20,0.28526194656453946
13,50,adaptive,31-40,linear30,0.19614851416141824
13,50,adaptive,31-40,linear50,0.00716054187929123
13,50,adaptive,31-40,same_policy,0.0562825779305431
13,50,adaptive,41-50,feature_ml,0.4850182789108065
13,50,adaptive,41-50,gp,0.00677509475754902
13,50,adaptive,41-50,linear20,0.2830364911997444
13,50,adaptive,41-50,linear30,0.15012756920182055
13,50,adaptive,41-50,linear50,0.006114901932628323
13,50,adaptive,41-50,same_policy,0.06892766399745123
13,50,global,all,feature_ml,0.4619005566996827
13,50,global,all,gp,2.1330487347308686e-18
13,50,global,all,linear20,0.3440309765053011
13,50,global,all,linear30,0.1940684667950161
13,50,global,all,linear50,0.0
13,50,global,all,same_policy,0.0
13,50,horizon,1-10,feature_ml,0.20929467971798127
13,50,horizon,1-10,gp,0.11564098438406334
13,50,horizon,1-10,linear20,0.22551547699240657
13,50,horizon,1-10,linear30,0.2205161204992293
13,50,horizon,1-10,linear50,1.3877787807814457e-17
13,50,horizon,1-10,same_policy,0.22903273840631952
13,50,horizon,11-20,feature_ml,0.2589185993970725
13,50,horizon,11-20,gp,1.746406319839695e-17
13,50,horizon,11-20,linear20,0.3642087600722364
13,50,horizon,11-20,linear30,0.3768726405306911
13,50,horizon,11-20,linear50,9.383560924484611e-18
13,50,horizon,11-20,same_policy,0.0
13,50,horizon,21-30,feature_ml,0.2899438954224343
13,50,horizon,21-30,gp,1.4657528216831214e-17
13,50,horizon,21-30,linear20,0.3318232985383282
13,50,horizon,21-30,linear30,0.296227875436707
13,50,horizon,21-30,linear50,0.0
13,50,horizon,21-30,same_policy,0.08200493060253053
13,50,horizon,31-40,feature_ml,0.4940853457977068
13,50,horizon,31-40,gp,7.328764108415607e-18
13,50,horizon,31-40,linear20,0.32245600890348347
13,50,horizon,31-40,linear30,0.18345864529880984
13,50,horizon,31-40,linear50,4.798034453886858e-18
13,50,horizon,31-40,same_policy,3.469446951953614e-18
13,50,horizon,41-50,feature_ml,0.4893701065862167
13,50,horizon,41-50,gp,2.931505643366243e-17
13,50,horizon,41-50,linear20,0.34799830791716074
13,50,horizon,41-50,linear30,0.16263158549662254
13,50,horizon,41-50,linear50,0.0
13,50,horizon,41-50,same_policy,2.0816681711721685e-17
15,50,adaptive,1-10,feature_ml,0.2322472198758453
15,50,adaptive,1-10,gp,0.08793081108756713
15,50,adaptive,1-10,linear20,0.2178403458071551
15,50,adaptive,1-10,linear30,0.19394143556101592
15,50,adaptive,1-10,linear50,0.009717420778385704
15,50,adaptive,1-10,same_policy,0.2583227668900309
15,50,adaptive,11-20,feature_ml,0.2509547596606453
15,50,adaptive,11-20,gp,0.009460957397519659
15,50,adaptive,11-20,linear20,0.35731479543642
15,50,adaptive,11-20,linear30,0.24480757707501075
15,50,adaptive,11-20,linear50,0.006301376498310328
15,50,adaptive,11-20,same_policy,0.13116053393209398
15,50,adaptive,21-30,feature_ml,0.40081688535239934
15,50,adaptive,21-30,gp,0.007354565566793487
15,50,adaptive,21-30,linear20,0.37495050180069045
15,50,adaptive,21-30,linear30,0.1199620944122029
15,50,adaptive,21-30,linear50,0.005648144887439101
15,50,adaptive,21-30,same_policy,0.0912678079804747
15,50,adaptive,31-40,feature_ml,0.4395774646658932
15,50,adaptive,31-40,gp,0.006081543850506967
15,50,adaptive,31-40,linear20,0.3331852348782811
15,50,adaptive,31-40,linear30,0.11749469550417838
