cutoff,model,policy,n_batteries,RMSE,MAE
100,Linear-50,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00033235365240903404,0.00025400934864126156
100,Linear-50,5C_67PER_4C_NEWSTRUCTURE,6,0.0002993448197786933,0.00021889697925186875
100,Linear-50,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003063442722427399,0.00020474698685631168
100,Linear-50,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002665415427195054,0.0002132034575653119
100,Linear-50,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002557009337173547,0.0001906606378428604
100,Linear-50,80PER_3_6C,2,0.001632781839479324,0.0010091527682156653
100,Linear-Nested,3_6C-80PER_3_6C,2,0.0007482006303347209,0.0003568568769658531
100,Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002494548473433621,0.00019357569145373566
100,Linear-Nested,4_8C_80PER_4_8C,2,0.0009487203674434226,0.0007478848915671776
100,Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00037918507243381246,0.0002730173878544697
100,Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.0002394600647873149,0.00018206431128806267
100,Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00037024271394587313,0.0002511115986145697
100,Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00023376264987102317,0.0001696515814699641
100,Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00029383700608454815,0.00022292680320266735
100,Linear-Nested,80PER_3_6C,2,0.0015230748245277732,0.0010071182177839456
100,Same-policy mean delta,3_6C-80PER_3_6C,2,0.0009320484574059669,0.0005498026928535748
100,Same-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002280278358240589,0.0019839200815337053
100,Same-policy mean delta,4_8C_80PER_4_8C,2,0.0018302383903443403,0.0015776231817698227
100,Same-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008484596180214555,0.0007576865634719194
100,Same-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.00021004472085317955,0.0001585033476110198
100,Same-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00028092017080746283,0.00020921330055039266
100,Same-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002444337292991236,0.00018593694986151124
100,Same-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0003196433818105974,0.00024213916175507246
100,Same-policy mean delta,80PER_3_6C,2,0.004435737571674198,0.003654633418189892
125,Persistence,3_6C-80PER_3_6C,2,0.0019452199600362144,0.0012020006063514844
125,Persistence,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.005598934505745905,0.004781663172054132
125,Persistence,4_8C_80PER_4_8C,2,0.0033425150524021615,0.0027951686638798033
125,Persistence,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008685381054827971,0.0007231083050895335
125,Persistence,5C_67PER_4C_NEWSTRUCTURE,6,0.0010037136426902925,0.0008590873518205984
125,Persistence,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0010166175174589403,0.0008711720287187649
125,Persistence,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.001195735000020854,0.0010191927072984127
125,Persistence,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0011462203199613058,0.0009911971354664786
125,Persistence,80PER_3_6C,2,0.004137893634827036,0.003160559423990241
125,Linear-10,3_6C-80PER_3_6C,2,0.0014173296988979555,0.0009888967695427797
125,Linear-10,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0005803221644054837,0.00042803695650740493
125,Linear-10,4_8C_80PER_4_8C,2,0.0005222682065420852,0.0004774321640410306
125,Linear-10,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0006027194773751069,0.00048705317915750745
125,Linear-10,5C_67PER_4C_NEWSTRUCTURE,6,0.0005880180502303187,0.00043519612078534055
125,Linear-10,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0008249754662286023,0.0005566679375892744
125,Linear-10,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0005497634071803438,0.00039807332992977814
125,Linear-10,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0006250364603860667,0.0004828145687593301
125,Linear-10,80PER_3_6C,2,0.0025757633708082548,0.0021084021600334367
125,Linear-20,3_6C-80PER_3_6C,2,0.0014277689664340635,0.000617500527482916
125,Linear-20,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0003241069315387755,0.0002637161896119189
125,Linear-20,4_8C_80PER_4_8C,2,0.001018457169535169,0.0008237387114581052
125,Linear-20,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.000691389712604159,0.0005625922337057179
125,Linear-20,5C_67PER_4C_NEWSTRUCTURE,6,0.000502698814574074,0.00040974264849200526
125,Linear-20,5_3C_54PER_4C_NEWSTRUCTURE,7,0.000650167958054885,0.000545573273421708
125,Linear-20,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0007360138686572697,0.0005997650401735632
125,Linear-20,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0008364331248759689,0.0007171713615568029
125,Linear-20,80PER_3_6C,2,0.0012052666449976776,0.0009088196434819972
125,Linear-30,3_6C-80PER_3_6C,2,0.001485356491119561,0.0006263785536494981
125,Linear-30,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00018654644227443197,0.00014757207992105114
125,Linear-30,4_8C_80PER_4_8C,2,0.001218268413823944,0.0010353819991127068
125,Linear-30,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007512096826555358,0.0006520500070893269
125,Linear-30,5C_67PER_4C_NEWSTRUCTURE,6,0.00041249937081538326,0.0003487775877086474
125,Linear-30,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0004675789258548589,0.00037063628029429703
125,Linear-30,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0005284611375955326,0.000456351282142514
125,Linear-30,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0006615480120524875,0.0005621450174938174
125,Linear-30,80PER_3_6C,2,0.0010212627207916414,0.0007355812502133651
125,Linear-50,3_6C-80PER_3_6C,2,0.0015849719392204255,0.000709992589209748
125,Linear-50,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002906358356258711,0.00022926416903841008
125,Linear-50,4_8C_80PER_4_8C,2,0.0013804899821586998,0.001184359387235343
125,Linear-50,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0004305627254178994,0.0003281351793926999
125,Linear-50,5C_67PER_4C_NEWSTRUCTURE,6,0.00027457003941333834,0.00021510374914056866
125,Linear-50,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003628129873384948,0.0002864767480510195
125,Linear-50,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003461145579527423,0.0002886142165209806
125,Linear-50,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0004159179038213252,0.00033423430675464576
125,Linear-50,80PER_3_6C,2,0.0011375617982506997,0.0007858717201074039
125,Linear-Nested,3_6C-80PER_3_6C,2,0.0015849719392204255,0.000709992589209748
125,Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002906358356258711,0.00022926416903841008
125,Linear-Nested,4_8C_80PER_4_8C,2,0.0013804899821586998,0.001184359387235343
125,Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0004305627254178994,0.0003281351793926999
125,Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.00027457003941333834,0.00021510374914056866
