cutoff,model,horizon_bin,RMSE,MAE
75,Persistence,1-10,0.0005239692470915306,0.0002491019014166268
75,Persistence,11-20,0.0008457840184510774,0.0005282905031752566
75,Persistence,21-30,0.0014860434046407042,0.0010071755634093607
75,Persistence,31-40,0.002104205129827631,0.0013947750049053836
75,Persistence,41-50,0.002622114384516136,0.0016884954869529213
75,Linear-10,1-10,0.0003967927240510885,0.00019846725644311197
75,Linear-10,11-20,0.0004959698208028881,0.0003720588827579893
75,Linear-10,21-30,0.0007331046664575539,0.0005556322220642818
75,Linear-10,31-40,0.000889917290540116,0.0006798942845594056
75,Linear-10,41-50,0.0011871752463835823,0.0009254424356477705
75,Linear-20,1-10,0.0004383693087259466,0.0001434734704688584
75,Linear-20,11-20,0.0004084938627511114,0.00024503142338794357
75,Linear-20,21-30,0.0006174810669234545,0.0003187185762390521
75,Linear-20,31-40,0.0008919404194688516,0.00043963069787414155
75,Linear-20,41-50,0.0011393710018218187,0.0005902639158883033
75,Linear-30,1-10,0.0003857735292347303,0.00016203573979241243
75,Linear-30,11-20,0.00030298688532112564,0.00020909490059363295
75,Linear-30,21-30,0.0004545323150041358,0.0003209956933284264
75,Linear-30,31-40,0.000618418526948465,0.0004422930218018009
75,Linear-30,41-50,0.0007759896052231086,0.0005513866683337934
75,Linear-50,1-10,0.00041725340832565196,0.00023428325010336205
75,Linear-50,11-20,0.0003434726518927122,0.0002727556881211135
75,Linear-50,21-30,0.0005847698222044271,0.00047557793370258864
75,Linear-50,31-40,0.0007493514482878593,0.0005912365951262554
75,Linear-50,41-50,0.0008742951767616578,0.0006638944813111841
75,Linear-Nested,1-10,0.00045124122741517264,0.00016608212696989476
75,Linear-Nested,11-20,0.00042877832117896173,0.0002514710387923527
75,Linear-Nested,21-30,0.0006626830737427312,0.0003827334746932259
75,Linear-Nested,31-40,0.000944234618283382,0.0005270932822598104
75,Linear-Nested,41-50,0.0011820140820692064,0.0006560164605220573
75,Same-policy mean delta,1-10,0.000588386550030295,0.00020380717131552234
75,Same-policy mean delta,11-20,0.0005570639017875378,0.0003209499707068339
75,Same-policy mean delta,21-30,0.0009595268551444697,0.0005044549031801402
75,Same-policy mean delta,31-40,0.0013795702846348531,0.0007155828004241563
75,Same-policy mean delta,41-50,0.0017871960041756037,0.0009004830618098889
100,Persistence,1-10,0.0005133395824890833,0.0003094376884846664
100,Persistence,11-20,0.0010475073442429194,0.0006338852334834896
100,Persistence,21-30,0.0014966796561262596,0.000968130317434533
100,Persistence,31-40,0.00220717622283539,0.0015023749631925523
100,Persistence,41-50,0.0029426429573368557,0.0019934912364072293
100,Linear-10,1-10,0.0003690213176125239,0.00022772915661959826
100,Linear-10,11-20,0.0007550220228665696,0.0005646972216746265
100,Linear-10,21-30,0.0009853722431467347,0.0007751734075503214
