outer_battery_id,ablation,selected_config,feature,baseline_outer_RMSE,RMSE_increase_mean,RMSE_increase_std
18,C_plus_policy,random_forest,Tavg_last,0.0001561174407754,7.511796140614781e-08,0.0
18,C_plus_policy,random_forest,Tavg_mean,0.0001561174407754,-2.392362115322632e-07,0.0
18,C_plus_policy,random_forest,Tavg_slope,0.0001561174407754,1.0637059753545482e-05,0.0
18,C_plus_policy,random_forest,Tavg_delta,0.0001561174407754,2.8562697315190225e-06,0.0
18,C_plus_policy,random_forest,Tavg_std,0.0001561174407754,9.033151760896418e-07,0.0
18,C_plus_policy,random_forest,chargetime_last,0.0001561174407754,-2.1905261905186247e-06,0.0
18,C_plus_policy,random_forest,chargetime_mean,0.0001561174407754,5.51586309372853e-07,0.0
18,C_plus_policy,random_forest,chargetime_slope,0.0001561174407754,-3.311576980865574e-07,0.0
18,C_plus_policy,random_forest,chargetime_delta,0.0001561174407754,-1.2705917668874925e-06,0.0
18,C_plus_policy,random_forest,chargetime_std,0.0001561174407754,-5.31982896494242e-08,0.0
18,C_plus_policy,random_forest,corr_SOH_IR,0.0001561174407754,-3.213097479169984e-07,0.0
18,C_plus_policy,random_forest,corr_SOH_Tavg,0.0001561174407754,2.1518919024861522e-07,0.0
18,C_plus_policy,random_forest,corr_SOH_chargetime,0.0001561174407754,-3.658329476442898e-08,0.0
18,C_plus_policy,random_forest,C1_physical,0.0001561174407754,5.029492350337185e-07,0.0
18,C_plus_policy,random_forest,C1_missing_indicator,0.0001561174407754,7.185362583565976e-08,0.0
18,C_plus_policy,random_forest,Q1,0.0001561174407754,-1.3178952410739008e-08,0.0
18,C_plus_policy,random_forest,C2,0.0001561174407754,2.685929067711428e-07,0.0
18,C_plus_policy,random_forest,initial_capacity,0.0001561174407754,6.156777207211024e-07,0.0
18,C_plus_policy,random_forest,E1,0.0001561174407754,-1.2773283230909857e-07,0.0
18,C_plus_policy,random_forest,E2,0.0001561174407754,-2.417736447391189e-07,0.0
18,C_plus_policy,random_forest,C1_minus_C2,0.0001561174407754,1.0857654596723798e-07,0.0
18,C_plus_policy,random_forest,weighted_C_rate,0.0001561174407754,-1.291771259591618e-07,0.0
18,C_plus_policy,random_forest,stage1_width,0.0001561174407754,6.131891616423528e-07,0.0
18,C_plus_policy,random_forest,stage2_width,0.0001561174407754,1.9860370573413985e-07,0.0
18,C_plus_policy,random_forest,policy__3_6C_80PER_3_6C,0.0001561174407754,0.0,0.0
18,C_plus_policy,random_forest,policy__3_7C_31PER_5_9C_NEWSTRUCTURE,0.0001561174407754,0.0,0.0
18,C_plus_policy,random_forest,policy__4_8C_80PER_4_8C,0.0001561174407754,-1.560067428126781e-07,0.0
18,C_plus_policy,random_forest,policy__4_8C_80PER_4_8C_NEWSTRUCTURE,0.0001561174407754,-2.653398947043129e-07,0.0
18,C_plus_policy,random_forest,policy__5C_67PER_4C_NEWSTRUCTURE,0.0001561174407754,4.580377282998151e-07,0.0
18,C_plus_policy,random_forest,policy__5_3C_54PER_4C_NEWSTRUCTURE,0.0001561174407754,-4.731404185707262e-07,0.0
18,C_plus_policy,random_forest,policy__5_6C_19PER_4_6C_NEWSTRUCTURE,0.0001561174407754,2.0712359689861867e-08,0.0
18,C_plus_policy,random_forest,policy__5_6C_36PER_4_3C_NEWSTRUCTURE,0.0001561174407754,4.2370163669041775e-08,0.0
18,C_plus_policy,random_forest,policy__80PER_3_6C,0.0001561174407754,8.846066747793561e-09,0.0
19,C_plus_policy,random_forest,cutoff,0.0002274668711714,5.0223901109671374e-06,0.0
19,C_plus_policy,random_forest,forecast_horizon,0.0002274668711714,2.533748857448445e-05,0.0
19,C_plus_policy,random_forest,SOH_raw_last,0.0002274668711714,9.764205924073634e-07,0.0
19,C_plus_policy,random_forest,SOH_last,0.0002274668711714,3.7476235829330827e-07,0.0
19,C_plus_policy,random_forest,SOH_variance,0.0002274668711714,-5.91510714285649e-07,0.0
19,C_plus_policy,random_forest,SOH_slope_10,0.0002274668711714,-4.744252612669383e-07,0.0
19,C_plus_policy,random_forest,SOH_delta_10,0.0002274668711714,-2.9068644507408096e-07,0.0
19,C_plus_policy,random_forest,SOH_linear_rmse_10,0.0002274668711714,3.692927636475031e-06,0.0
19,C_plus_policy,random_forest,SOH_slope_20,0.0002274668711714,1.6610085964858243e-06,0.0
19,C_plus_policy,random_forest,SOH_delta_20,0.0002274668711714,-6.26196258626528e-07,0.0
19,C_plus_policy,random_forest,SOH_linear_rmse_20,0.0002274668711714,1.642890349060587e-06,0.0
19,C_plus_policy,random_forest,SOH_slope_30,0.0002274668711714,-8.175648211882901e-07,0.0
19,C_plus_policy,random_forest,SOH_delta_30,0.0002274668711714,2.1514452045817922e-07,0.0
19,C_plus_policy,random_forest,SOH_linear_rmse_30,0.0002274668711714,-1.9440950279177797e-06,0.0
19,C_plus_policy,random_forest,SOH_slope_50,0.0002274668711714,1.087755326288994e-06,0.0
19,C_plus_policy,random_forest,SOH_delta_50,0.0002274668711714,3.852011238825398e-07,0.0
19,C_plus_policy,random_forest,SOH_linear_rmse_50,0.0002274668711714,2.0881795730055515e-06,0.0
19,C_plus_policy,random_forest,SOH_quadratic_curvature,0.0002274668711714,-1.301906869238253e-06,0.0
19,C_plus_policy,random_forest,SOH_first_derivative,0.0002274668711714,-1.1468670931558404e-07,0.0
19,C_plus_policy,random_forest,SOH_second_derivative,0.0002274668711714,-2.7353866541522383e-06,0.0
19,C_plus_policy,random_forest,horizon_fraction,0.0002274668711714,3.598802578454378e-05,0.0
19,C_plus_policy,random_forest,SOH_linear_delta_10,0.0002274668711714,9.91715334419183e-06,0.0
19,C_plus_policy,random_forest,SOH_linear_delta_20,0.0002274668711714,3.291672166327419e-07,0.0
19,C_plus_policy,random_forest,SOH_linear_delta_30,0.0002274668711714,6.51583249911038e-06,0.0
19,C_plus_policy,random_forest,SOH_linear_delta_50,0.0002274668711714,3.5753183832731855e-05,0.0
19,C_plus_policy,random_forest,SOH_quadratic_delta,0.0002274668711714,6.638397377599657e-06,0.0
19,C_plus_policy,random_forest,IR_last,0.0002274668711714,2.814400153111944e-07,0.0
19,C_plus_policy,random_forest,IR_mean,0.0002274668711714,0.0,0.0
19,C_plus_policy,random_forest,IR_slope,0.0002274668711714,-1.2097392348883176e-07,0.0
19,C_plus_policy,random_forest,IR_delta,0.0002274668711714,9.630554782883423e-07,0.0
19,C_plus_policy,random_forest,IR_std,0.0002274668711714,3.78797486373124e-07,0.0
