battery_id,policy,cutoff,fit_start,model,EOL_threshold,EOL_cycle,EOL_lower_90,EOL_upper_90,bootstrap_valid,bootstrap_repetitions,fit_RMSE,derivative_max,monotonic_constraint_satisfied,params_json
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,1,exponential,0.8,15296.497403403733,13571.224922248652,19674.680198402748,40,40,0.0007002934769020879,-1.455944303357582e-05,True,"[1.000043237266239, 1.4590711962339955e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,20,linear,0.8,9835.167081818727,9026.727869076129,11314.91724782118,40,40,0.0002370485884370229,-2.0400553877828264e-05,True,"[1.000642855950086, 2.0400553877828264e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,20,power,0.8,1021.105390685437,859.0171133317151,1265.7970633492837,40,40,0.00013566268990226036,-3.327971452039549e-06,True,"[0.9998763033348157, 3.604859840696476e-08, 2.2411813782369188]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,20,exponential,0.8,10959.595442763422,9971.317642975906,12183.691840968218,40,40,0.0002372680171580034,-2.0369944105876272e-05,True,"[1.0006437641603592, 2.04192855033784e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,50,linear,0.8,7994.973221115977,7513.071261557749,8455.573622748945,40,40,0.00015476779756660636,-2.5162434512088233e-05,True,"[1.00117299010223, 2.5162434512088233e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,50,power,0.8,1418.666162370111,1127.0297376250683,1742.1546363856849,40,40,0.00012895517815095798,-1.3635086907637237e-05,True,"[1.0000889502228316, 2.2344857747930122e-07, 1.8884110799151945]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,50,exponential,0.8,8903.538019164718,8337.44463073821,9628.963280841961,40,40,0.0001549006642465018,-2.5128792476844916e-05,True,"[1.001175695926257, 2.5194316705156786e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,80,linear,0.8,7053.210846476973,6664.576416926019,7474.15136254721,40,40,0.0001543023194200634,-2.858113482408688e-05,True,"[1.0015887701458703, 2.858113482408688e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,80,power,0.8,1624.3663336054922,972.4404248520163,4933.704922892679,40,40,0.00014863082516256425,-2.165238679364654e-05,True,"[1.0002030931599306, 4.2601309335764456e-07, 1.766616668478503]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,80,exponential,0.8,7849.912808972829,7363.847562358604,8264.72843095125,40,40,0.00015434320958146905,-2.855189411747326e-05,True,"[1.0015939459837104, 2.8629136881293524e-05]"
