window_end,use_policy,fold,battery_id,method,rmse,mae,r2
50,True,3,26,torch_mlp,0.00019622181496785162,0.0001861869267304428,0.4431135452635071
50,True,4,27,torch_mlp,4.745836929789912e-05,3.745556976355146e-05,0.9930401049167977
50,True,5,28,torch_mlp,9.688543874583254e-05,7.085860805091216e-05,0.9689628257047772
50,True,4,29,torch_mlp,0.0001439013756000847,0.00011599219647905557,0.8309016379372595
50,True,2,30,torch_mlp,0.0005101695145439901,0.00036515521991532297,0.9498378764426998
50,True,5,31,torch_mlp,0.0002066635826397093,0.00016818331596823554,0.20086997144314656
50,True,5,32,torch_mlp,5.9458908990194454e-05,4.721861177131359e-05,0.9257639718927334
50,True,3,33,torch_mlp,0.0003629229085939512,0.00031141818722971946,-0.8031412516898415
50,True,3,34,torch_mlp,0.00022401561670688618,0.00018695326376473532,0.6654314972011659
50,True,3,35,torch_mlp,0.00022907401688562426,0.00016820563410874456,0.9942579673330518
50,True,5,36,torch_mlp,9.996482466804402e-05,8.663430786327808e-05,0.8825497921715239
50,True,3,37,torch_mlp,0.00021572889591818065,0.00018167386057029944,0.7511115578746975
50,True,2,38,torch_mlp,9.94705657699809e-05,6.730578879796668e-05,0.9639471741833595
50,True,5,39,torch_mlp,0.00013436655740613424,0.00010755683862953447,0.902311317909467
50,True,2,40,torch_mlp,0.0001314094183516112,0.00010307673714123667,0.9421682228618331
50,True,2,41,torch_mlp,0.0012204737949158267,0.0011100964180332084,-3.571994288180158
50,True,2,42,torch_mlp,0.0002965516245548835,0.0002562335539187188,-0.15358481947246783
50,True,4,43,torch_mlp,0.00015480413336330334,0.00012753863644320517,0.8931346074313775
50,True,4,44,torch_mlp,0.00019998102475579486,0.0001656560021729092,0.7988346320680851
50,True,2,45,torch_mlp,0.0002778809758826099,0.0002493200593994516,-1.244496240331285
50,True,5,46,torch_mlp,0.00019505524820893783,0.00015591899140417808,0.06490516183635786
50,True,1,47,torch_mlp,0.0006200487123462779,0.0005438870826975517,-14.682315674103918
50,True,4,48,torch_mlp,6.920263857630058e-05,5.451312213608617e-05,0.9182668234106517
50,True,1,49,torch_mlp,0.00023451843218875223,0.0002002902530693973,-0.050243510773847255
100,False,1,1,linear_tail,0.000619067916532319,0.0004233236523785733,0.28659113370557665
100,False,2,3,linear_tail,0.00013703229831572354,0.00012463330684900464,0.7923365085462565
100,False,4,4,linear_tail,0.0015882092213538276,0.0013913153120666722,0.6472647580294696
100,False,1,6,linear_tail,0.0001464374710203729,0.00010288669193999178,0.9135990545232282
100,False,3,7,linear_tail,0.0009450428620932572,0.0008175894241685322,-0.10579450396427448
100,False,3,8,linear_tail,0.0016298505144497271,0.0014086378804022838,0.17250189791951775
